,datetime,symbol,收盤價
458,2013-05-15,2610,11.5
1911,2013-05-16,2610,11.4
3364,2013-05-17,2610,11.35
4817,2013-05-20,2610,11.4
6270,2013-05-21,2610,11.4
7723,2013-05-22,2610,11.9
9176,2013-05-23,2610,11.65
10630,2013-05-24,2610,11.95
12084,2013-05-27,2610,11.9
13538,2013-05-28,2610,12.0
14992,2013-05-29,2610,12.1
16446,2013-05-30,2610,12.1
17901,2013-05-31,2610,12.15
19356,2013-06-03,2610,11.85
20812,2013-06-04,2610,11.7
22269,2013-06-05,2610,11.8
23726,2013-06-06,2610,11.55
25183,2013-06-07,2610,11.55
26640,2013-06-10,2610,11.6
28096,2013-06-11,2610,11.45
29552,2013-06-13,2610,11.2
31008,2013-06-14,2610,11.1
32464,2013-06-17,2610,11.25
33921,2013-06-18,2610,11.4
35378,2013-06-19,2610,11.25
36835,2013-06-20,2610,11.1
38292,2013-06-21,2610,11.2
39749,2013-06-24,2610,11.1
41206,2013-06-25,2610,10.95
42664,2013-06-26,2610,11.2
44123,2013-06-27,2610,11.2
45582,2013-06-28,2610,11.3
47041,2013-07-01,2610,11.4
48500,2013-07-02,2610,11.3
49959,2013-07-03,2610,11.25
51418,2013-07-04,2610,11.1
52877,2013-07-05,2610,11.35
54336,2013-07-08,2610,11.1
55795,2013-07-09,2610,11.2
57254,2013-07-10,2610,11.15
58713,2013-07-11,2610,11.3
60172,2013-07-12,2610,11.2
61631,2013-07-15,2610,11.35
63090,2013-07-16,2610,11.45
64549,2013-07-17,2610,11.5
66008,2013-07-18,2610,11.5
67467,2013-07-19,2610,11.4
68926,2013-07-22,2610,11.3
70385,2013-07-23,2610,11.5
71844,2013-07-24,2610,11.35
73304,2013-07-25,2610,11.3
74764,2013-07-26,2610,11.25
76224,2013-07-29,2610,11.15
77684,2013-07-30,2610,11.25
79144,2013-07-31,2610,11.1
80604,2013-08-01,2610,11.1
82064,2013-08-02,2610,11.1
83524,2013-08-05,2610,11.05
84985,2013-08-06,2610,11.0
86446,2013-08-07,2610,10.95
87907,2013-08-08,2610,10.75
89368,2013-08-09,2610,10.7
90829,2013-08-12,2610,10.7
92290,2013-08-13,2610,11.0
93751,2013-08-14,2610,10.85
95210,2013-08-15,2610,10.75
96669,2013-08-16,2610,10.8
98128,2013-08-19,2610,10.7
99587,2013-08-20,2610,10.7
101046,2013-08-22,2610,10.6
102505,2013-08-23,2610,10.55
103964,2013-08-26,2610,10.55
105423,2013-08-27,2610,10.45
106882,2013-08-28,2610,10.25
108341,2013-08-29,2610,10.4
109800,2013-08-30,2610,10.5
111259,2013-09-02,2610,10.55
112718,2013-09-03,2610,10.5
114177,2013-09-04,2610,10.5
115636,2013-09-05,2610,10.6
117095,2013-09-06,2610,10.55
118554,2013-09-09,2610,10.6
120013,2013-09-10,2610,10.75
121472,2013-09-11,2610,10.9
122931,2013-09-12,2610,11.0
124392,2013-09-13,2610,10.95
125853,2013-09-14,2610,10.85
127314,2013-09-16,2610,10.9
128775,2013-09-17,2610,10.95
130236,2013-09-18,2610,10.75
131697,2013-09-23,2610,10.9
133159,2013-09-24,2610,10.95
134622,2013-09-25,2610,10.9
136085,2013-09-26,2610,10.75
137548,2013-09-27,2610,11.05
139011,2013-09-30,2610,11.1
140474,2013-10-01,2610,11.1
141937,2013-10-02,2610,11.1
143400,2013-10-03,2610,11.0
144863,2013-10-04,2610,10.9
146326,2013-10-07,2610,10.75
147789,2013-10-08,2610,10.75
149252,2013-10-09,2610,10.7
150716,2013-10-11,2610,10.6
152180,2013-10-14,2610,10.55
153644,2013-10-15,2610,10.7
155108,2013-10-16,2610,10.6
156572,2013-10-17,2610,10.7
158036,2013-10-18,2610,10.65
159500,2013-10-21,2610,10.55
160965,2013-10-22,2610,10.6
162430,2013-10-23,2610,10.7
163896,2013-10-24,2610,10.7
165362,2013-10-25,2610,10.65
166828,2013-10-28,2610,10.6
168294,2013-10-29,2610,10.6
169760,2013-10-30,2610,10.6
171226,2013-10-31,2610,10.65
172693,2013-11-01,2610,10.65
174160,2013-11-04,2610,10.7
175627,2013-11-05,2610,10.55
177094,2013-11-06,2610,10.65
178561,2013-11-07,2610,10.6
180028,2013-11-08,2610,10.7
181497,2013-11-11,2610,10.7
182967,2013-11-12,2610,10.7
